"Rk","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Year"
25,"John Collins",22,"ATL","PF",41,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,0,2020
26,"Paul George",29,"LAC","SF",48,48,29.6,7.1,16.3,0.439,3.3,7.9,0.412,3.9,8.4,0.464,0.539,4,4.5,0.876,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,0,2020
27,"De'Aaron Fox",22,"SAC","PG",51,49,32,7.7,16,0.48,1.1,3.6,0.292,6.6,12.4,0.535,0.513,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,0,2020
28,"Khris Middleton",28,"MIL","SF",62,59,29.9,7.6,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,0,2020
29,"Stephen Curry",31,"GSW","PG",5,5,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.476,5.2,5.2,1,0.8,4.4,5.2,6.6,1,0.4,3.2,2.2,20.8,0,2020
30,"Collin Sexton",21,"CLE","PG",65,65,33,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3,1,0.1,2.4,2.2,20.8,0,2020
31,"Spencer Dinwiddie",26,"BRK","PG",64,49,31.2,6.6,16,0.415,1.9,6.3,0.308,4.7,9.7,0.485,0.476,5.4,7,0.778,0.5,3,3.5,6.8,0.6,0.3,2.7,2.8,20.6,0,2020
32,"Kristaps Porziņģis",24,"DAL","C",57,57,31.8,7,16.4,0.427,2.5,7.1,0.352,4.5,9.3,0.484,0.503,4,5,0.799,1.8,7.7,9.5,1.8,0.7,2,1.6,3.2,20.4,0,2020
33,"Kemba Walker",29,"BOS","PG",56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,0,2020
34,"Jaylen Brown",23,"BOS","SG",57,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,5.2,9.6,0.543,0.554,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,0,2020
